# Route inventory — lk.sps38.pro/next, generated from .cache/compiled_routes.php
# total=377  generated_at=2026-07-15  source=next/.cache/compiled_routes.php (read-only)
# columns: METHOD	path	controller::method	hasDto	hasAccessRules	hasMiddlewares	hasPhpIni
GET	/api/notifications/my/{uuid}	SpsNext\LK\Notifications\Controllers\NotificationsController::getMyNotificationByUuid	-	-	-	-
GET	/api/notifications/push-subscriptions/status	SpsNext\LK\Notifications\Controllers\NotificationsController::getPushSubscriptionStatus	-	Y	-	-
GET	/api/notifications/{uuid}	SpsNext\LK\Notifications\Controllers\NotificationsController::getBroadcastByUuid	-	Y	-	-
GET	/api/notifications/{uuid}/recipients	SpsNext\LK\Notifications\Controllers\NotificationsController::getBroadcastRecipients	-	Y	-	-
GET	/api/org-tree	SpsNext\LK\OrgTree\Controllers\OrgTreeController::orgTree	-	-	-	-
GET	/api/org-tree/staff	SpsNext\LK\OrgTree\Controllers\OrgTreeController::orgTreeStaff	Y	-	-	-
GET	/api/person/contacts/emails/{uuid}	SpsNext\Person\Contacts\Controllers\ContactsController::getEmailsByUuid	-	-	-	-
GET	/api/person/contacts/phones/{uuid}	SpsNext\Person\Contacts\Controllers\ContactsController::getPhonesByUuid	-	-	-	-
GET	/api/person/contacts/primary-email/{uuid}	SpsNext\Person\Contacts\Controllers\ContactsController::getPrimaryEmailByUuid	-	-	-	-
GET	/api/person/me/contacts/emails	SpsNext\Person\Contacts\Controllers\ContactsController::getMyEmails	-	-	-	-
GET	/api/person/me/contacts/phones	SpsNext\Person\Contacts\Controllers\ContactsController::getMyPhones	-	-	-	-
GET	/api/person/me/contacts/primary-email	SpsNext\Person\Contacts\Controllers\ContactsController::getMyPrimaryEmail	-	-	-	-
GET	/api/person/me/personal-data	SpsNext\Person\PersonalData\Controllers\PersonalDataController::getMyPersonalData	-	-	-	-
GET	/api/person/me/photos	SpsNext\Person\Photos\Controllers\PhotosController::getMyPhotos	-	-	-	-
GET	/api/person/personal-data/code-1c/{code1c}	SpsNext\Person\PersonalData\Controllers\PersonalDataController::getPersonalDataByCode1C	-	-	-	-
GET	/api/person/personal-data/{uuid}	SpsNext\Person\PersonalData\Controllers\PersonalDataController::getPersonalDataByUuid	-	-	-	-
GET	/api/person/photos/{uuid}	SpsNext\Person\Photos\Controllers\PhotosController::getPhotosByUuid	-	-	-	-
GET	/api/phone-book/users	SpsNext\PhoneBook\Controllers\PhoneBookController::getUsers	Y	-	-	-
GET	/api/positions	SpsNext\Positions\Controllers\PositionsController::getAllPositions	-	-	-	-
GET	/api/positions/{code1c}	SpsNext\Positions\Controllers\PositionsController::getPositionByCode1c	-	-	-	-
GET	/api/qr-fast	SpsNext\LK\QR\Controllers\QRController::getFast	-	Y	-	-
GET	/api/queue/dashboard	SpsFW\Core\Queue\Controllers\QueueManagerController::dashboard	-	-	-	-
GET	/api/queue/jobs	SpsFW\Core\Queue\Controllers\QueueManagerController::listJobs	-	-	-	-
GET	/api/queue/stats	SpsFW\Core\Queue\Controllers\QueueManagerController::stats	-	-	-	-
GET	/api/release-update	SpsNext\LK\ReleaseUpdate\Controllers\ReleaseUpdateController::getAll	Y	-	-	-
GET	/api/release-update/tags	SpsNext\LK\ReleaseUpdate\Controllers\TagController::getAll	-	-	-	-
GET	/api/release-update/{id}	SpsNext\LK\ReleaseUpdate\Controllers\ReleaseUpdateController::getById	-	-	-	-
GET	/api/salary/me	SpsNext\Salary\Controllers\SalaryController::getSalary	Y	-	-	-
GET	/api/test	SpsNext\TestController::test	-	Y	-	-
GET	/api/ticket/{uuid}/file	SpsNext\LK\Tickets\Controllers\TicketsController::getFile	-	Y	-	-
GET	/api/tickets/all	SpsNext\LK\Tickets\Controllers\TicketsController::getAll	Y	-	-	-
GET	/api/tickets/{ticket_uuid}/send	SpsNext\LK\Tickets\Controllers\TicketsController::sendByConfirm	-	-	-	-
GET	/api/tickets/{user_code_1c}	SpsNext\LK\Tickets\Controllers\TicketsController::getByUser	-	-	-	-
GET	/api/training-center/class-info	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::getClassInfoByUuid	Y	-	-	-
GET	/api/training-center/class-infos	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::getAllClassInfos	-	-	-	-
GET	/api/training-center/classes-from-position/{position_code_1c}	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::getClassesFromPositionCode1c	-	-	-	-
GET	/api/training-center/internship/{internship_id}	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::getInternship	-	-	-	-
GET	/api/training-center/internships-from-master/{master_code_1c}	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::internshipsFromMaster	-	-	-	-
GET	/api/training-center/internships-masters/{internship_code_1c}	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::getInternshipsMasters	-	-	-	-
GET	/api/training-center/student-internships/{student_code_1c}	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::getStudentInternships	-	-	-	-
GET	/api/training-center/view-employee-role/{employee_code_1c}	SpsNext\TrainingCenter\ClassInfo\Controllers\ClassInfoController::viewEmployeeRole	-	-	-	-
GET	/api/updates	SpsNext\SiteUpdates\SiteUpdateController::getUpdates	-	-	-	-
GET	/api/users/search	SpsNext\Users\Controllers\UserController::getByName	Y	-	-	-
GET	/api/users/search/full	SpsNext\Users\Controllers\UserController::getFullByQuery	Y	-	-	-
GET	/api/vehicle-reports/road-sheets/by-vehicle-code/{vehicle_code_1c}	SpsNext\WorkSheets\Vehicle\Controllers\VehicleReportsController::getRoadSheetsByVehicleCode	Y	-	-	-
GET	/api/vehicle-reports/road-sheets/pdf	SpsNext\WorkSheets\Vehicle\Controllers\VehicleReportsController::getRoadsSheets	Y	-	-	-
GET	/api/vehicle-reports/road-sheets/{report_id}/scanned-pdf	SpsNext\WorkSheets\Vehicle\Controllers\VehicleReportsController::getScannedRoadSheetPdf	-	-	-	-
GET	/api/vehicle-reports/{id}/get-drivers	SpsNext\WorkSheets\Vehicle\Controllers\VehicleReportsController::getDrivers	Y	-	-	-
GET	/api/vehicle-reports/{id}/{date}	SpsNext\WorkSheets\Vehicle\Controllers\VehicleReportsController::getReportsByDay	-	-	-	-
GET	/api/vehicle/get-list	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::getList	Y	-	-	-
GET	/api/vehicle/get-table	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::getTable	Y	-	-	-
GET	/api/vehicle/logs/{code_1c}	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::getVehicleLogsByCode1c	Y	-	-	-
GET	/api/vehicle/{code_1c}	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::getVehicleCard	-	-	-	-
GET	/api/vehicle/{date}/info	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::dayInfo	Y	-	-	-
GET	/api/vehicle/{id}/get-drivers	SpsNext\WorkSheets\Vehicle\Controllers\VehicleController::getDrivers	Y	-	-	-
GET	/api/widgets/me	SpsNext\LK\Widgets\Controllers\WidgetController::get	-	-	-	-
GET	/api/worker-health	SpsFW\Core\Queue\Controllers\WorkerHealthController::check	-	-	-	-
GET	/api/workers	SpsFW\Core\Queue\Controllers\QueueManagerController::index	-	-	-	-
GET	/api/worksheets-legacy/links/show-links-info-for-master	SpsNext\WorkSheetsFromLegacy\Links\Controllers\LinkLegacyController::showLinksInfoForMaster	Y	-	-	-
GET	/api/worksheets/admin/links	SpsNext\WorkSheets\Links\Controllers\LinkController::getAdminLinks	Y	-	-	-
GET	/api/worksheets/admin/links/{link_id}	SpsNext\WorkSheets\Links\Controllers\LinkController::getAdminLinkInfo	-	-	-	-
GET	/api/worksheets/admin/links/{link_id}/reports	SpsNext\WorkSheets\Links\Controllers\LinkController::getAdminLinkReports	-	-	-	-
GET	/api/worksheets/admin/links/{link_id}/roles	SpsNext\WorkSheets\Links\Controllers\LinkController::getLinkRoles	-	-	-	-
GET	/api/worksheets/admin/reports/{report_id}	SpsNext\WorkSheets\Links\Controllers\LinkController::getAdminReportInfo	-	-	-	-
GET	/api/worksheets/export	SpsNext\WorkSheets\Shared\Shifts\Controllers\ShiftController::ExportShifts	Y	Y	-	-
GET	/api/worksheets/link-preferences/get-link-preferences	SpsNext\Domain\Worksheets\Controllers\GetLinkPreferencesController::handle	Y	-	-	-
GET	/api/worksheets/link/active/all	SpsNext\WorkSheets\Links\Controllers\LinkController::getAllList	-	-	-	-
GET	/api/worksheets/link/subordinates	SpsNext\WorkSheets\Links\Controllers\LinkController::getSubordinatesLinks	-	-	-	-
GET	/api/worksheets/queue/test	SpsNext\WorkSheets\Shared\Shifts\Controllers\ShiftController::testQueueResponse	Y	-	-	-
GET	/api/worksheets/report/{report_id}/create-pdf	SpsNext\WorkSheets\Shared\Shifts\Controllers\ShiftController::createPdfReport	-	-	-	-
GET	/api/worksheets/report/{report_id}/scans	SpsNext\WorkSheets\Shared\Shifts\Controllers\ShiftController::getReportScans	-	-	-	-
GET	/api/worksheets/vehicle-repair-sheet/object/{object_id}/open	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::getOpenByObjectId	-	-	-	-
GET	/api/worksheets/vehicle-repair-sheet/vehicle/{vehicle_code_1c}	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::getByVehicleCode1c	-	-	-	-
GET	/api/worksheets/vehicle-repair-sheet/vehicle/{vehicle_code_1c}/open	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::getOpenByVehicleCode1c	-	-	-	-
GET	/api/worksheets/vehicle-repair-sheet/{uuid}	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::getByUuid	-	-	-	-
GET	/api/worksheets/vehicle-repair/object/{objectId}/open	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::getOpenByObjectIdV2	Y	-	-	-
GET	/api/worksheets/vehicle-repair/vehicle/{vehicleCode1c}	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::getByVehicleCode1cV2	-	-	-	-
GET	/api/worksheets/vehicle-repair/{uuid}	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::getByUuidV2	-	-	-	-
GET	/api/worksheets/vehicle-repair/{uuid}/history	SpsNext\WorkSheets\Vehicle\Controllers\RepairController::history	-	-	-	-
GET	/api/worksheets/vehicle/driver/attachment/check	SpsNext\WorkSheets\Vehicle\Controllers\VehicleDriverAttachmentController::checkVehicleDriverAttachment	Y	-	-	-
GET	/api/worksheets/vehicle/driver/attachment/driver-history	SpsNext\WorkSheets\Vehicle\Controllers\VehicleDriverAttachmentController::getDriverAttachmentHistory	Y	-	-	-
GET	/api/worksheets/vehicle/driver/attachment/get-driver-vehicles/{driverCode1c}	SpsNext\WorkSheets\Vehicle\Controllers\VehicleDriverAttachmentController::getVehiclesAttachedToDriver	-	-	-	-
GET	/api/worksheets/vehicle/driver/attachment/get-vehicle-drivers/{vehicleId}	SpsNext\WorkSheets\Vehicle\Controllers\VehicleDriverAttachmentController::getDriversAttachedToVehicle	-	-	-	-
